Top,Restaurant,Longitude,Latitude,Price_RgLv,Category
88,Casa Rolandi,21.097574,-86.76871,High,"Italiana, Suiza, Mariscos"
89,El Galeon del Caribe,21.04902,-86.78354,low,"Mexicana, Caribeña, Latina, Mariscos"
90,Sedona Grill,21.087826,-86.7702,Medium,"Mexicana, Del sudoeste de EE.UU, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
91,Labna,21.1621,-86.828,Medium,"Mexicana, Latina, Española, Apto para vegetarianos, Opciones sin gluten"
92,Xkat-Ik,21.074722,-86.77822,Medium,"Mexicana, Latina, Mariscos, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
93,Casa Tequila,21.135214,-86.74783,Medium,"Mexicana, Latina, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
94,Tequila Grill,21.102385,-86.76535,Medium,"Mexicana, Latina, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
95,La Destileria Cancun,21.104507,-86.76512,Medium,"Mexicana, Latina, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
96,Luum Cocina Creativa,21.159498,-86.823944,Medium,"Mexicana, Internacional, Contemporánea, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
97,Momo,20.988693,-86.827805,High,"Japonesa, Sushi, Asiática, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
98,Hanaichi,21.135778,-86.74795,Medium,"Japonesa, Sushi, Asiática, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
99,El Fish Fritanga,21.105587,-86.76463,Medium,"Mexicana, Caribeña, Mariscos, Sopas, Apto para vegetarianos, Opciones sin gluten"
100,Calypso´s Mexican Restaurant,21.135319,-86.74729,Medium,"Mexicana, Latina, Mariscos, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
