Top,Restaurant,Longitude,Latitude,Price_RgLv,Apto para vegetarianos,Argentina,Asiática,Bar,Brasilera,Canadiense,Caribeña,Centroamericana,Cervecería,Churrasquería,Comida rápida,Contemporánea,De la India,Del sudoeste de EE.UU,Española,Estadounidense,Europea,Francesa,Fusión,Internacional,Italiana,Japonesa,Latina,Mariscos,Mediterránea,Mexicana,Opciones sin gluten,Opciones veganas,Parrilla,Peruana,Pizzería,Sopas,Sudamericana,Suiza,Sushi,Tailandesa
85,Thai,21.108864,-86.76435,High,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
86,El Pescado Ciego,21.162558,-86.82389,Medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
87,Fred's House,21.088469,-86.773026,High,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
88,Casa Rolandi,21.097574,-86.76871,High,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
89,El Galeon del Caribe,21.04902,-86.78354,low,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
90,Sedona Grill,21.087826,-86.7702,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
91,Labna,21.1621,-86.828,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
92,Xkat-Ik,21.074722,-86.77822,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
93,Casa Tequila,21.135214,-86.74783,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
94,Tequila Grill,21.102385,-86.76535,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
95,La Destileria Cancun,21.104507,-86.76512,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
96,Luum Cocina Creativa,21.159498,-86.823944,Medium,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
97,Momo,20.988693,-86.827805,High,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
98,Hanaichi,21.135778,-86.74795,Medium,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
99,El Fish Fritanga,21.105587,-86.76463,Medium,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
100,Calypso´s Mexican Restaurant,21.135319,-86.74729,Medium,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
